Date,Close,Volume,Open,High,Low
2017-08-01,64200,811680,62600,64200,62500
2017-07-31,62600,513860,61900,63000,61500
2017-07-28,61500,338940,60600,61500,60600
2017-07-27,60600,350280,60700,61300,60100
2017-07-26,61300,332530,61500,61800,60900
2017-07-25,60500,284880,58800,61000,58800
2017-07-24,59600,772050,58400,60500,58000
2017-07-21,60000,462650,63000,63000,60000
2017-07-20,62000,253890,62500,62900,60700
2017-07-19,62700,687010,61000,62900,61000
2017-07-18,60700,509580,61200,62100,60600
2017-07-17,62100,723250,63700,63700,61800
2017-07-14,63500,750170,63500,64300,63000
2017-07-13,63200,882290,62700,64000,62300
2017-07-12,62500,1483860,60400,63000,60200
2017-07-11,60100,458340,60200,60500,59400
2017-07-10,60300,1071320,60500,60800,59700
2017-07-07,60700,728970,60700,60900,60000
2017-07-06,60700,719680,60100,60800,59700
2017-07-05,60100,1598410,59200,60200,58900
2017-07-04,59000,394690,59200,59300,58000
2017-07-03,59600,868690,58200,59700,58200
2017-06-30,58300,1282490,57600,58900,57500
2017-06-29,57300,549030,57100,57500,57100
2017-06-28,57300,516800,56900,57500,56600
2017-06-27,57400,577840,57200,58300,57000
2017-06-26,57000,209750,57000,57200,56700
2017-06-23,56700,360190,57000,57100,56000
2017-06-22,57000,686630,57500,57700,56700
2017-06-21,57700,738120,57700,58000,57000
2017-06-20,58100,711980,58100,58400,57900
2017-06-19,58200,1080490,58500,58500,57800
2017-06-16,57500,613830,56900,58000,56900
2017-06-15,56900,457380,57000,57400,56500
2017-06-14,57500,1090870,56300,57700,56300
2017-06-13,56200,444780,55200,56200,55000
2017-06-12,55200,362400,54900,55800,54800
2017-06-09,54900,279320,55500,55500,54700
2017-06-08,55500,404080,54100,55900,54100
2017-06-07,55500,631150,55200,56200,55200
2017-06-06,55400,314000,55200,55400,55000
2017-06-05,55200,245020,54600,55300,54400
2017-06-02,54600,944820,55800,55800,54500
2017-06-01,55700,412340,55500,55900,55300
2017-05-31,55600,391640,57000,57000,55500
2017-05-30,56600,408770,58000,58100,56600
2017-05-29,58000,639880,57000,58300,56800
2017-05-26,56800,595270,57100,57800,56800
2017-05-25,58100,940320,58000,58600,57400
2017-05-24,57100,472380,57400,57500,56600
2017-05-23,57400,469660,58100,58500,57400
2017-05-22,58100,1581550,57000,58400,56900
2017-05-19,55900,1110510,55000,56400,55000
2017-05-18,54700,461480,54400,55100,54200
2017-05-17,54400,176600,54700,54700,54000
2017-05-16,54600,198540,54800,54800,54500
2017-05-15,54100,360800,54500,54500,54000
2017-05-12,54500,260390,55300,55300,54400
2017-05-11,55100,125850,55500,55500,54900
2017-05-10,55000,296500,55900,56000,55000
2017-05-09,55600,561550,54900,55700,54800
2017-05-08,55000,402680,54600,55300,54600
2017-05-05,54600,238870,54500,54900,54400
2017-05-04,55200,623850,55000,55200,54800
2017-05-03,55200,651080,55000,55600,54900
2017-04-28,55500,498570,55600,56000,54500
2017-04-27,55800,1008680,54500,56000,54400
2017-04-26,54500,334940,53800,54500,53600
2017-04-25,53700,110460,54000,54200,53700
2017-04-24,54100,361260,53600,54500,53400
2017-04-21,53600,256750,53900,54400,53600
2017-04-20,54000,405730,54400,54400,54000
2017-04-19,55000,247430,55200,55400,54700
2017-04-18,55100,457560,54000,55200,54000
2017-04-17,54000,463270,54200,55100,53700
2017-04-14,53900,568130,54900,55000,53500
2017-04-13,54700,678760,56400,56400,54300
2017-04-12,55400,733350,57000,57000,55400
